date,store,actual,naive,model
2023-08-10,store_0,-1.4587889824692932,-1.4797759422401324,-1.3672442036144616
2023-08-11,store_0,-1.4587889824692932,-1.4378020226984538,-1.4171271005758228
2023-08-12,store_0,-1.181294736610418,-1.4004918719947397,-1.2071926513398814
2023-08-13,store_0,-1.2885614198835966,-1.2885614198835966,-1.3643083059917702
2023-08-14,store_0,-1.5777150878373825,-1.4774440578211503,-1.4691358988112988
2023-08-15,store_0,-1.538073052714686,-1.470448404564204,-1.4734225576508448
2023-08-16,store_0,-1.5660556657424718,-1.5147542085248646,-1.442751107069274
2023-08-17,store_0,-1.3958281031567752,-1.4587889824692932,-1.3432380917723676
2023-08-18,store_0,-1.360849836872043,-1.4587889824692932,-1.3607184589775076
2023-08-19,store_0,-1.3841686810618643,-1.181294736610418,-1.3241647496409408
2023-08-21,store_0,-1.4797759422401324,-1.5777150878373825,-1.5096303749696434
2023-08-22,store_0,-1.4960991331730074,-1.538073052714686,-1.495692854024307
2023-08-23,store_0,-1.4867715954970788,-1.5660556657424718,-1.4377816453642736
2023-08-24,store_0,-1.4774440578211503,-1.3958281031567752,-1.4095828842732754
2023-08-25,store_0,-1.5007629020109716,-1.360849836872043,-1.3580931431357295
2023-08-26,store_0,-1.4144831785086325,-1.3841686810618643,-1.216517568718899
2023-08-27,store_0,-1.3048846108164716,-1.364539851776806,-1.3045763390423728
2023-08-28,store_0,-1.4121512940896503,-1.4797759422401324,-1.4784516317694076
2023-08-29,store_0,-1.5310773994577396,-1.4960991331730074,-1.3463814497208082
2023-08-30,store_0,-1.4168150629276146,-1.4867715954970788,-1.4743614405651524
2023-08-31,store_0,-1.4774440578211503,-1.4774440578211503,-1.3648977743968258
2023-09-01,store_0,-1.2372599626659897,-1.5007629020109716,-1.1934628576454887
2023-09-02,store_0,-1.3212078017493467,-1.4144831785086325,-1.1732523500579768
2023-09-03,store_0,-1.0716961689182571,-1.3048846108164716,-1.3673768549016663
2023-09-04,store_0,-1.4517933292123466,-1.4121512940896503,-1.4545806692335306
2023-09-05,store_0,-1.4541252136313287,-1.5310773994577396,-1.5392336580016848
2023-09-06,store_0,-1.5030947864299538,-1.4168150629276146,-1.5157756675776644
2023-09-07,store_0,-1.442465791536418,-1.4774440578211503,-1.4861593586546435
2023-09-08,store_0,-1.491435364335043,-1.2372599626659897,-1.439556632901314
2023-09-09,store_0,-1.3865005654808469,-1.3212078017493467,-1.4101159931939398
2023-09-10,store_0,-1.2745701133697038,-1.0716961689182571,-1.4286777778876376
2023-09-11,store_0,-1.407487525251686,-1.4517933292123466,-1.5396783848185362
2023-09-12,store_0,-1.4937672487540252,-1.4541252136313287,-1.4686889128684872
2023-09-13,store_0,-1.4354701382794717,-1.5030947864299538,-1.4740411679966132
2023-09-14,store_0,-1.5264136306197753,-1.442465791536418,-1.4128245031193423
2023-09-15,store_0,-1.3865005654808469,-1.491435364335043,-1.383304192288849
2023-09-16,store_0,-1.178962852191436,-1.3865005654808469,-1.3171517073609214
2023-09-17,store_0,-1.1346570482307752,-1.2745701133697038,-1.3525415194555057
2023-09-18,store_0,-1.4494614447933645,-1.407487525251686,-1.4216089429209806
2023-09-19,store_0,-1.3865005654808469,-1.4937672487540252,-1.3441629133678343
2023-09-20,store_0,-1.5124223241058825,-1.4354701382794717,-1.4645205332831468
2023-09-21,store_0,-1.4378020226984538,-1.5264136306197753,-1.4349556361477418
2023-09-22,store_0,-1.342194761520186,-1.3865005654808469,-1.3648518012135697
2023-09-23,store_0,-1.2116092340571858,-1.178962852191436,-1.249707980329192
2023-09-24,store_0,-1.1253295105548464,-1.1346570482307752,-1.2920498461127692
2023-09-25,store_0,-1.4051556408327035,-1.4494614447933645,-1.5043771497512695
2023-09-26,store_0,-1.3561860680340787,-1.3865005654808469,-1.474868519687057
2023-09-27,store_0,-1.4541252136313287,-1.5124223241058825,-1.4291800389969753
2023-09-28,store_0,-1.4657846357262396,-1.4378020226984538,-1.411445492289278
2023-09-29,store_0,-1.398159987575757,-1.342194761520186,-1.3607597689951505
2023-09-30,store_0,-1.244255615922936,-1.2116092340571858,-1.2479996225643812
2023-10-01,store_0,-1.164971545677543,-1.1253295105548464,-1.186826677112364
2023-10-02,store_0,-1.3351991082632395,-1.4051556408327035,-1.253753300088975
2023-10-03,store_0,-1.2325961938280252,-1.3561860680340787,-1.4262309949752099
2023-10-04,store_0,-1.3538541836150966,-1.4541252136313287,-1.424883103310969
2023-10-05,store_0,-1.4004918719947397,-1.4657846357262396,-1.2988134954616157
2023-10-06,store_0,-1.2815657666266502,-1.398159987575757,-1.1732135509122252
2023-10-07,store_0,-1.069364284499275,-1.244255615922936,-1.1090518856538152
2023-10-08,store_0,-0.9667613700640608,-1.164971545677543,-1.303569584289806
2023-10-09,store_0,-1.4960991331730074,-1.3351991082632395,-1.4232827369111214
2023-10-10,store_0,-1.470448404564204,-1.2325961938280252,-1.3251992131702122
2023-10-11,store_0,-1.3701773745479715,-1.3538541836150966,-1.4175713497997395
2023-10-12,store_0,-1.4331382538604895,-1.4004918719947397,-1.436767116818591
2023-10-13,store_0,-1.3328672238442574,-1.2815657666266502,-1.289255862532958
2023-10-14,store_0,-1.0064034051867572,-1.069364284499275,-1.1785680655839794
2023-10-15,store_0,-1.0157309428626855,-0.9667613700640608,-1.1186062455033765
2023-10-16,store_0,-1.4378020226984538,-1.4960991331730074,-1.4178606091553152
2023-10-17,store_0,-1.4564570980503109,-1.470448404564204,-1.4279151554608922
2023-10-18,store_0,-1.5170860929438468,-1.3701773745479715,-1.4032556786631116
2023-10-19,store_0,-1.491435364335043,-1.4331382538604895,-1.4534332608323717
2023-10-20,store_0,-1.4844397110780967,-1.3328672238442574,-1.2661040162074972
2023-10-21,store_0,-1.1836266210294002,-1.0064034051867572,-1.1368444021697526
2023-10-22,store_0,-1.2675744601127572,-1.0157309428626855,-1.4406557162528564
2023-10-23,store_0,-1.4681165201452218,-1.4378020226984538,-1.583103924069633
2023-10-24,store_0,-1.5450687059716324,-1.4564570980503109,-1.6234835132783154
2023-10-25,store_0,-1.491435364335043,-1.5170860929438468,-1.5175476131197245
2023-10-26,store_0,-1.489103479916061,-1.491435364335043,-1.4037035526922599
2023-10-27,store_0,-1.4774440578211503,-1.4844397110780967,-1.4130369674284435
2023-10-28,store_0,-1.633680313892954,-1.1836266210294002,-1.1129784576472566
2023-10-29,store_0,-1.3212078017493467,-1.2675744601127572,-1.4532897926422104
2023-10-30,store_0,-1.3678454901289896,-1.4681165201452218,-1.5985105159466029
2023-10-31,store_0,-1.2512512691798825,-1.5450687059716324,-1.1024334443627226
2023-11-01,store_0,-1.3865005654808469,-1.491435364335043,-1.422007802994012
2023-11-02,store_0,-1.4564570980503109,-1.489103479916061,-1.3012078345793614
2023-11-03,store_0,-1.377173027804918,-1.4774440578211503,-1.3511115863152867
2023-11-04,store_0,-1.2092773496382037,-1.633680313892954,-1.2231566831655565
2023-11-05,store_0,-1.2256005405710788,-1.3212078017493467,-1.1865338059860842
2023-11-06,store_0,-1.5637237813234897,-1.3678454901289896,-1.4433058974312414
2023-11-07,store_0,-1.4984310175919895,-1.2512512691798825,-1.4946020979955454
2023-11-08,store_0,-1.4284744850225253,-1.3865005654808469,-1.4722879250843375
2023-11-09,store_0,-1.4471295603743823,-1.4564570980503109,-1.4384487301335978
2023-11-10,store_0,-1.4354701382794717,-1.377173027804918,-1.4232915400583086
2023-11-11,store_0,-1.2395918470849716,-1.2092773496382037,-1.2314706859985478
2023-11-12,store_0,-1.230264309409043,-1.2256005405710788,-1.32040575094544
2023-11-13,store_0,-1.5637237813234897,-1.5637237813234897,-1.5498239532900062
2023-11-14,store_0,-1.5264136306197753,-1.4984310175919895,-1.4288119435731297
2023-11-15,store_0,-1.4774440578211503,-1.4284744850225253,-1.4718142513374437
2023-11-16,store_0,-1.5264136306197753,-1.4471295603743823,-1.379729927391609
2023-11-17,store_0,-1.393496218737793,-1.4354701382794717,-1.3785086476317239
2023-11-18,store_0,-1.3655136057100077,-1.2395918470849716,-1.1946744309113646
2023-11-19,store_0,-1.2232686561520965,-1.230264309409043,-1.4521711070456227
2023-11-20,store_0,-1.538073052714686,-1.5637237813234897,-1.5644951102798776
2023-11-21,store_0,-1.4937672487540252,-1.5264136306197753,-1.5126343229143717
2023-11-22,store_0,-1.521749861781811,-1.4774440578211503,-1.451242786537656
2023-11-23,store_0,-1.540404937133668,-1.5264136306197753,-1.4095277388204108
2023-11-24,store_0,-1.4541252136313287,-1.393496218737793,-1.4193164559008127
2023-11-25,store_0,-1.1463164703256858,-1.3655136057100077,-1.212178480599169
2023-11-26,store_0,-1.1952860431243109,-1.2232686561520965,-1.4171067203859808
2023-11-27,store_0,-1.5124223241058825,-1.538073052714686,-1.5851601858405016
2023-11-28,store_0,-1.5567281280665433,-1.4937672487540252,-1.5477120270777238
2023-11-29,store_0,-1.5147542085248646,-1.521749861781811,-1.4941104446013618
2023-11-30,store_0,-1.4657846357262396,-1.540404937133668,-1.4135287973507171
2023-08-10,store_1,-0.6239743604736855,-0.2998424262351675,-0.389719017265988
2023-08-11,store_1,-0.2158945871518103,-0.3371525769388818,-0.33819311635505944
2023-08-12,store_1,-0.0270119492142566,0.1315561912765291,0.11983783198194875
2023-08-13,store_1,-0.1296148636494709,0.6725533764803866,0.2879440805168582
2023-08-14,store_1,-0.5959917474458998,-0.5446902902282926,-0.5600107711343043
2023-08-15,store_1,-0.9224555661034,-0.3931178029944532,-0.6325906841272432
2023-08-16,store_1,-0.7848743853834534,-0.614646822797757,-0.5337318047803256
2023-08-17,store_1,-0.7638874256126141,-0.6239743604736855,-0.44502883911404173
2023-08-18,store_1,-0.859494686790882,-0.2158945871518103,-0.37667703699416727
2023-08-19,store_1,-0.728909159327882,-0.0270119492142566,-0.3544773858113266
2023-08-20,store_1,-0.5237033304574533,-0.1296148636494709,-0.025827950039994656
2023-08-21,store_1,-1.0133990584437036,-0.5959917474458998,-0.7751425990613218
2023-08-22,store_1,-1.2209367717331143,-0.9224555661034,-0.8154940208833331
2023-08-23,store_1,-0.9411106414552572,-0.7848743853834534,-0.8768533918582673
2023-08-24,store_1,-0.8921410686566321,-0.7638874256126141,-0.7317293047502731
2023-08-25,store_1,-0.582000440932007,-0.859494686790882,-0.6083015352959644
2023-08-26,store_1,-0.3021743106541496,-0.728909159327882,-0.17930944152069592
2023-08-27,store_1,0.0592677742880827,-0.5237033304574533,-0.009750030525174916
2023-08-28,store_1,-0.6333018981496141,-1.0133990584437036,-0.728724268864243
2023-08-29,store_1,-0.4117728783463104,-1.2209367717331143,-0.7524492540654419
2023-08-30,store_1,-0.388454034156489,-0.9411106414552572,-0.5659881268481725
